title,premiere_year,final_year,seasons,episodes,country,technique,era,run_years,averageRating,numVotes,runtimeMinutes,genres,tconst
Pingu,1986,2006,,157,"Switzerland, UK",,Golden Age (85-96),20,7.4,10049.0,5.0,"Animation,Comedy,Family",tt0100366
Nico,2001,2001,1,19,Spain,Traditional,Modern (97-09),0,4.3,25.0,120.0,"Comedy,Family",tt0222602
Animals,2016,2018,3,30,United States,Traditional,Streaming Era (2010+),2,7.3,139.0,45,Romance,tt27543761
DokiDoki! PreCure,2006,2014,,49,Japan,Traditional,Modern (97-09),8,6.6,404.0,24.0,"Action,Adventure,Animation",tt4621212
Rex the Runt,1998,2001,2,26,United Kingdom,"Stop-Motion, Live-Action",Modern (97-09),3,7.9,429.0,10.0,"Animation,Comedy",tt0135104
The Hunter,1960,1960,,26,United States,,Classic (pre-1970),0,6.1,17.0,30.0,Drama,tt0044268
Super Why!,2007,2016,,104,"Canada, United States",CGI,Modern (97-09),9,6.0,1508.0,30,"Action,Adventure,Animation",tt1105469
The Dudley Do-Right Show,1961,1970,,38,United States,,Classic (pre-1970),9,6.7,1123.0,30.0,"Adventure,Animation,Comedy",tt0063896
Rolling with the Ronks!,2016,2017,,26,France,Traditional/Flash,Streaming Era (2010+),1,6.2,46.0,13.0,"Animation,Comedy,Family",tt5049686
Meet the Moores,2011,2015,6,94,"Ireland, United States",Flash,Streaming Era (2010+),4,,,,"Animation,Family",tt31889194
Tekkaman: The Space Knight,1975,1975,,26,Japan,,Bronze Age (70s-84),0,6.8,43.0,30.0,"Action,Adventure,Animation",tt0294200
The Little Polar Bear,1992,1992,1,21,"UK, Germany",Traditional,Golden Age (85-96),0,7.1,28.0,,"Animation,Family",tt0836291
Warrior of Love Rainbowman,1982,1983,,22,Japan,,Bronze Age (70s-84),1,7.8,24.0,30.0,"Action,Adventure,Fantasy",tt0302173
Pororo the Little Penguin,2003,2021,7,286,South Korea,CGI,Modern (97-09),18,,,,Family,tt13527330
Space Patrol,1963,1963,,,United Kingdom,,Classic (pre-1970),0,6.9,186.0,30.0,"Action,Adventure,Family",tt0043234
Space Ace,1965,1966,,,Japan,,Classic (pre-1970),1,7.4,5.0,,Action,tt33562418
The Legend of Tarzan,2021,2003,2,39,United States,Traditional,Streaming Era (2010+),-18,6.7,3982.0,22.0,"Action,Adventure,Animation",tt0283754
Moomin,1969,1969,,,Japan,,Classic (pre-1970),0,8.4,5286.0,23.0,"Adventure,Animation,Comedy",tt0247117
Superboy,1966,1966,,34,United States,,Classic (pre-1970),0,6.0,1641.0,30.0,"Action,Adventure,Family",tt0094559
The Flash,1967,1967,,3,United States,,Classic (pre-1970),0,7.1,8699.0,48.0,"Action,Crime,Fantasy",tt0098798
Beany and Cecil,1962,1969,,26,United States,,Classic (pre-1970),7,6.6,107.0,30.0,Animation,tt1028626
The Thing,1979,1979,,13,United States,,Bronze Age (70s-84),0,,,,Comedy,tt4056688
